,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.97,0.5,0.05308015,0.000530802,26.801029159519725,0.0530799571227132,0.0019417948990208093,1.3659636787078743e-07,1.4136714875812014e-10,-15.806235479688944,-15.80727094171294,-15.80520108873759
1,99.97,0.5,0.021986518,0.000219865,26.801029159519725,0.07506803149068866,0.0021535353208201533,1.3659636770484652e-07,1.9040460744378835e-09,-15.80623548090377,-15.820272758641055,-15.79239252374742
2,99.98,0.5,0.014187446,0.000141874,26.80031088360625,0.08925482714582215,0.0021308936034960257,1.130242368072792e-07,1.4180303401998245e-09,-15.995663556212524,-16.008289175041277,-15.983195358164865
3,99.98,0.5,0.013332649,0.000133326,26.80031088360625,0.10258626619168286,0.0022392345178360376,1.3422208588275644e-07,1.664641893291321e-09,-15.823770051562551,-15.836249745928116,-15.811444182250597
4,99.98,0.5,0.011638698,0.000116387,26.80031088360625,0.11422601523271908,0.0023216595356975664,1.338625604658747e-07,1.6143284608567276e-09,-15.82645223151815,-15.838585134879457,-15.814464772600246
5,49.52,2.0,0.000445989,4.45989e-06,30.991415377940314,0.11467196826849246,0.0023202325573223603,1.3609444494666795e-09,1.5859349609879655e-11,-20.41508693007872,-20.426808554625154,-20.4035011116825
6,49.54,2.0,0.000444976,4.44976e-06,30.989494561343705,0.11511693076476431,0.0023249013021513984,1.36367495937463e-09,1.5891951956432712e-11,-20.413082605501714,-20.424804811139328,-20.401496219401775
7,49.69,3.0,0.000674362,6.74362e-06,30.975096022797672,0.11579133242508748,0.002330354043156846,1.3851644479004375e-09,1.6078704088979453e-11,-20.39744696940938,-20.409122660160627,-20.385906028626792
8,49.8,4.333333333,0.000977498,9.77498e-06,30.96454559529339,0.11676886709670155,0.0023344868063421356,1.4009943692331483e-09,1.638430278089006e-11,-20.38608358870515,-20.39784727741475,-20.374456676925348
9,59.88,3.0,0.001861957,1.86196e-05,30.027324865627723,0.11863075437194885,0.0023442712734473292,3.906682179493711e-09,4.5882403920084936e-11,-19.360577370613374,-19.372391479187282,-19.348901207088776
10,59.93,4.333333333,0.002645371,2.64537e-05,30.022817341179298,0.12127606945906741,0.0023673561103531235,3.924014211326903e-09,4.541346028015185e-11,-19.356150673606912,-19.367791379527805,-19.344643915963
11,69.98,2.0,0.003111703,3.1117e-05,29.14347331915018,0.12438773261066197,0.002368375809385967,1.026705436680138e-08,1.1949718782031986e-10,-18.39432567334786,-18.406032832446343,-18.382753987347805
12,69.99,3.0,0.004511917,4.51192e-05,29.14262400186513,0.12889909540811845,0.00241848566947922,1.0267653000615019e-08,1.1940205530527064e-10,-18.394267368761085,-18.405964466966665,-18.382705512250716
13,69.99,4.333333333,0.006214618,6.21462e-05,29.14262400186513,0.13511389861579445,0.002441159143611968,1.0254918854194707e-08,1.183068384292224e-10,-18.395508358257402,-18.40711201534733,-18.384037803033237
14,79.98,1.0,0.003393188,3.39319e-05,28.31818310537196,0.138506999479561,0.002426243397578534,2.525497003130165e-08,2.89313186775726e-10,-17.494242867671264,-17.505764682724056,-17.48285229413543
15,80.0,2.0,0.006523265,6.52327e-05,28.31657935721365,0.14503099906455236,0.00246556735375493,2.5269531481183373e-08,2.87362112791971e-10,-17.49366645623329,-17.505103491808693,-17.482358748704947
16,79.99,3.0,0.00917942,9.17942e-05,28.317381208585832,0.1542103183351032,0.0025258301250992016,2.519953338235684e-08,2.8778823001292704e-10,-17.496440359173608,-17.50792645182264,-17.485084700094568
17,90.0,1.0,0.006763294,6.76329e-05,27.53683051080821,0.16097386202057012,0.0025133536654364796,5.909927327846347e-08,6.673458860899207e-10,-16.64404720908266,-16.655403394575078,-16.6328185397965
18,90.0,1.0,0.006440982,6.44098e-05,27.53683051080821,0.1674142546359474,0.0025191931821107183,5.900174335853436e-08,6.686256104128359e-10,-16.645698845027503,-16.657095847444324,-16.63443027193988
19,90.0,1.5,0.00913829,9.13829e-05,27.53683051080821,0.17655249679753987,0.0024623339462868654,5.888416631360445e-08,6.659448032792876e-10,-16.64769360562687,-16.659067446839856,-16.63644767520421
20,90.0,2.0,0.011357245,0.000113572,27.53683051080821,0.18791009295045746,0.0024794074474275007,5.8726179723820305e-08,6.59318135789613e-10,-16.65038021764927,-16.661670704347035,-16.639215784163365
21,99.97,0.5,0.006000353,6.00035e-05,26.801029159519725,0.19391048985407633,0.0024985714808215403,1.310970177885862e-07,1.456675746046782e-09,-15.847328194043525,-15.858501820273743,-15.836278039381702
22,119.96,0.5,0.024240831,0.000242408,25.438172521686045,0.21814969731423847,0.002759923712173387,5.801864245480409e-07,6.485332218744728e-09,-14.35991636341626,-14.37115732133256,-14.348800361312941
23,119.98,1.0,0.040235551,0.000402356,25.436878386284434,0.2583840951922508,0.003009192436237984,5.753701752632422e-07,6.414232208303399e-09,-14.368252220221974,-14.379462834543782,-14.357165891740246
24,119.99,1.5,0.047929927,0.000479299,25.436231367960524,0.3063110439803041,0.003678963457556944,5.67302664309103e-07,6.244374416445281e-09,-14.38237287615197,-14.39344103326934,-14.371425883294885
25,119.99,2.0,0.050516135,0.000505161,25.436231367960524,0.3568271016667517,0.003991074422705715,5.56522108884832e-07,6.0008485462386195e-09,-14.40155893856564,-14.41240026147747,-14.39083389048988
26,139.97,0.5,0.03967539,0.000396754,24.206041828040277,0.39650136296082505,0.0041824081286593595,2.09582790980398e-06,2.2469082292433933e-08,-13.075561898977359,-13.08634064372946,-13.064898097718103
27,139.99,1.0,0.063405515,0.000634055,24.204870019847995,0.45991033625946404,0.00425759321533295,2.037659405701071e-06,2.124422468107481e-08,-13.103708758964759,-13.114189285992225,-13.09333693510229
28,139.99,1.5,0.07018604,0.00070186,24.204870019847995,0.5301021036430424,0.004101716952666701,1.91487227862586e-06,1.931383488554021e-08,-13.16585963279043,-13.175997069576757,-13.155823933137464
29,139.99,2.0,0.068255434,0.000682554,24.204870019847995,0.5983543825580745,0.003605341083422975,1.784970265608193e-06,1.7509715150720607e-08,-13.236108800793998,-13.245966758826478,-13.226347074224066
30,159.95,0.5,0.04327642,0.000432764,23.089355806972986,0.6416346293897873,0.003476217863341291,5.524917013711046e-06,5.514081041776055e-08,-12.106242330816059,-12.116272855842082,-12.096311418877649
31,159.98,1.0,0.061204608,0.000612046,23.087756562694803,0.7028371472790751,0.0029540995990948726,4.763884519416157e-06,4.522038219910946e-08,-12.254447147021914,-12.263984820201081,-12.244999582303986
32,159.98,1.5,0.054607475,0.000546075,23.087756562694803,0.7574464711023354,0.002630377126757788,3.589652912773085e-06,3.344479316762201e-08,-12.537455041816868,-12.546815715701968,-12.528181178172987
33,159.99,2.0,0.036629627,0.000366296,23.087223530498225,0.7940755905011332,0.002245334402579735,2.224303233737208e-06,2.1123369050473246e-08,-13.016066844765364,-13.025608848135635,-13.006615031308794
34,179.94,0.5,0.014840339,0.000148403,22.070670286256593,0.8089165311480572,0.0021269515211065904,4.109801638940872e-06,4.0921947805739397e-08,-12.402135793652247,-12.412142856564161,-12.392227880668106
35,179.97,1.0,0.018615323,0.000186153,22.06920903954802,0.8275286434508639,0.0020725472178089177,2.8344850628124274e-06,2.7602359288280437e-08,-12.773650272974585,-12.783436048588328,-12.763959331489154
36,179.98,1.5,0.010882119,0.000108821,22.068722000308963,0.8384113135889253,0.00193496997921766,1.208374888268146e-06,1.2078388852951997e-08,-13.6262341686262,-13.636280023950215,-13.616288229598641
37,179.99,2.0,0.011818949,0.000118189,22.068234982566096,0.8502302607474039,0.0018220637217549185,1.0688648438335862e-06,1.1804358691877921e-08,-13.748913366249887,-13.760018629305888,-13.737930076752747
38,199.93,0.5,0.006975334,6.97533e-05,21.138073898706352,0.8572058723313492,0.0017160300385423155,2.6846144573725233e-06,2.70081049641157e-08,-12.827973431608813,-12.838084707810133,-12.817963370751317
39,199.97,1.0,0.011960676,0.000119607,21.13628677713899,0.8691666093911595,0.0015270686375307152,2.462052860382942e-06,2.4409039982488404e-08,-12.91451505992765,-12.92447863257382,-12.904649781504855
40,199.93,0.5,0.005208362,5.20836e-05,21.138073898706352,0.8743748417959593,0.0014799767312745349,2.2866420758223954e-06,2.3104010724517754e-08,-12.988426158965945,-12.99858145329204,-12.978372958715894
41,199.97,1.0,0.009297939,9.29794e-05,21.13628677713899,0.8836723483242609,0.0014843490302228757,2.16418932727061e-06,2.166217700746405e-08,-13.043464711310436,-13.053524514319928,-13.033505100856695
42,199.98,1.5,0.011792529,0.000117925,21.13584004396255,0.8954637888076502,0.0013648291166805104,2.00554450047728e-06,1.9778411317146882e-08,-13.119594962764191,-13.129505779156975,-13.109781407504052
43,199.98,2.0,0.012857251,0.000128573,21.13584004396255,0.9083217566565503,0.0013160547344464035,1.8468805303157982e-06,1.8104175072004852e-08,-13.202012541938402,-13.211863473099358,-13.192257705766572
44,219.94,0.5,0.006936504,6.9365e-05,20.280273378085138,0.915257945321946,0.0012009582251669149,4.428677988113033e-06,4.421531123483977e-08,-12.327409440991946,-12.337443476278185,-12.317475088180405
45,219.97,1.0,0.011696467,0.000116965,20.27903958468527,0.926955075671557,0.0010779786579879769,4.180306001376167e-06,4.1144996539947876e-08,-12.38512610803619,-12.395017446501182,-12.375331650646471
46,219.98,1.5,0.013521653,0.000135217,20.278628353578164,0.9404764984601063,0.000850905805751756,3.840934754885499e-06,3.649290572459948e-08,-12.469794795236448,-12.479341266198677,-12.460338598263144
47,219.99,2.0,0.01279567,0.000127957,20.278217139149127,0.9532723382228808,0.0006558365668316024,3.4059439998787267e-06,3.178834276504774e-08,-12.589988417468241,-12.599365440608956,-12.580698506668446
